id,이름,성별,나이,거주동,직업,학력,가구형태,주요관심이슈,지지후보,지지강도,투표의향,정치성향,과거투표정당,말투특성
1,김태식,남,66,덕천동,자영업자,고졸,아파트,부동산,한동훈,5,아마도,보수,국민의힘,무관심
2,김정숙,여,57,만덕동,일용직,대졸,아파트,부동산,한동훈,3,아마도,보수,없음(첫투표),감정적
3,안영자,여,67,구포동,배달기사,고졸,아파트,복지,한동훈,5,반드시,보수,국민의힘,적극적
4,최현주,여,51,덕천동,엔지니어,고졸,아파트,안보,미정,1,아마도,중도,민주당,무관심
5,황수진,여,48,구포동,배달기사,대졸,빌라/연립,부동산,한동훈,4,아마도,보수,국민의힘,논리적
6,송미숙,여,60,덕천동,엔지니어,고졸,아파트,일자리,한동훈,4,반드시,중도,기타,감정적
7,송동현,남,54,구포동,무직,대졸,원룸/고시원,교육,하정우,5,반드시,진보,기타,소극적
8,정지수,여,20,만덕동,일용직,대졸,빌라/연립,일자리,하정우,4,아마도,중도,국민의힘,논리적
9,김판수,남,61,덕천동,엔지니어,고졸,아파트,안보,박민식,3,반드시,진보,기타,무관심
10,오분자,여,64,구포동,건설노동자,대졸,빌라/연립,부동산,박민식,5,반드시,보수,국민의힘,감정적
11,윤태식,남,60,구포동,상인,고졸,아파트,일자리,한동훈,3,아마도,보수,기타,감정적
12,최명자,여,71,구포동,택시기사,고졸,빌라/연립,복지,한동훈,4,아마도,중도,민주당,무관심
13,김지훈,남,33,덕천동,관리직,대졸,빌라/연립,일자리,미정,1,아마도,중도,국민의힘,무관심
14,이명자,여,68,만덕동,무직,고졸,단독주택,복지,한동훈,4,모름,보수,국민의힘,소극적
15,강혜진,여,40,만덕동,경비원,고졸,빌라/연립,교육,미정,1,아마도,진보,민주당,소극적
16,최길동,남,74,구포동,편의점운영,대졸,아파트,안보,한동훈,4,반드시,진보,민주당,무관심
17,권봉희,여,67,구포동,청소원,고졸,단독주택,복지,박민식,4,반드시,보수,국민의힘,적극적
18,신성민,남,51,덕천동,전문직,대졸,아파트,복지,미정,2,안할것,보수,국민의힘,감정적
19,윤수진,여,29,덕천동,교사,전문대졸,아파트,일자리,미정,2,반드시,보수,국민의힘,논리적
20,이은지,여,51,덕천동,은행원,중졸,아파트,부동산,미정,1,모름,진보,민주당,소극적
21,최미진,여,33,구포동,자영업자,대졸,원룸/고시원,일자리,미정,1,반드시,진보,민주당,논리적
22,한수진,여,38,구포동,상인,대졸,빌라/연립,안보,미정,2,반드시,중도,민주당,감정적
23,박귀순,여,68,구포동,일용직,대졸,단독주택,복지,박민식,3,반드시,보수,없음(첫투표),감정적
24,강판수,남,61,만덕동,생산직,전문대졸,아파트,안보,한동훈,4,반드시,중도,민주당,무관심
25,서철호,남,74,구포동,상인,중졸,아파트,부동산,미정,1,모름,중도,국민의힘,감정적
26,정미숙,여,74,만덕동,일용직,고졸,빌라/연립,복지,미정,2,반드시,진보,정의당,적극적
27,최성진,남,31,덕천동,전문직,대졸,아파트,일자리,하정우,4,반드시,진보,민주당,감정적
28,조경호,남,67,만덕동,일용직,중졸,빌라/연립,복지,하정우,4,반드시,진보,정의당,적극적
29,한미숙,여,73,만덕동,청소원,고졸,아파트,안보,박민식,5,반드시,보수,국민의힘,무관심
30,윤동현,남,26,구포동,청소원,대졸,아파트,복지,한동훈,5,반드시,중도,없음(첫투표),논리적
31,정재원,남,44,구포동,건설노동자,대졸,아파트,안보,박민식,3,반드시,보수,기타,감정적
32,박민준,남,45,구포동,건설노동자,대학원졸,아파트,복지,미정,2,반드시,보수,국민의힘,감정적
33,조나영,여,26,덕천동,엔지니어,대학원졸,아파트,교육,하정우,3,아마도,보수,기타,적극적
34,정대현,남,51,덕천동,엔지니어,대졸,아파트,교육,하정우,4,아마도,보수,없음(첫투표),소극적
35,신영철,남,77,만덕동,가사도우미,중졸,단독주택,부동산,박민식,5,반드시,보수,국민의힘,감정적
36,황성진,남,48,덕천동,공무원,전문대졸,단독주택,복지,박민식,5,반드시,중도,기타,감정적
37,장영자,여,55,덕천동,관리직,전문대졸,빌라/연립,안보,박민식,5,반드시,진보,민주당,감정적
38,황영자,여,76,덕천동,주부,고졸,빌라/연립,부동산,하정우,5,반드시,진보,민주당,감정적
39,오춘자,여,58,구포동,청소원,고졸,빌라/연립,안보,한동훈,3,반드시,보수,국민의힘,적극적
40,서만수,남,60,덕천동,간호사,대졸,아파트,안보,한동훈,4,모름,중도,국민의힘,감정적
41,황지수,여,54,만덕동,무직,대졸,빌라/연립,일자리,박민식,4,아마도,중도,국민의힘,감정적
42,조옥순,여,66,만덕동,무직,전문대졸,단독주택,교육,박민식,4,반드시,보수,없음(첫투표),감정적
43,송영숙,여,57,덕천동,관리직,대졸,아파트,복지,미정,1,아마도,진보,민주당,감정적
44,황덕수,남,64,구포동,택시기사,고졸,단독주택,일자리,하정우,4,반드시,진보,민주당,적극적
45,안기태,남,60,만덕동,자영업자,고졸,아파트,안보,한동훈,3,반드시,보수,기타,적극적
46,김태호,남,53,구포동,편의점운영,전문대졸,단독주택,일자리,하정우,3,모름,진보,민주당,소극적
47,한성민,남,50,만덕동,청소원,대졸,빌라/연립,일자리,미정,2,반드시,보수,국민의힘,적극적
48,박동현,남,39,덕천동,엔지니어,전문대졸,아파트,부동산,박민식,4,아마도,보수,국민의힘,적극적
49,권경순,여,68,덕천동,엔지니어,고졸,아파트,복지,한동훈,5,반드시,보수,국민의힘,적극적
50,임미숙,여,59,구포동,일용직,대졸,아파트,부동산,미정,1,모름,중도,기타,소극적
51,장만수,남,73,덕천동,교사,고졸,단독주택,안보,하정우,4,반드시,진보,민주당,감정적
52,김정숙,여,60,만덕동,자영업자,전문대졸,빌라/연립,복지,박민식,4,반드시,중도,민주당,무관심
53,권성진,남,28,만덕동,가사도우미,대졸,빌라/연립,부동산,한동훈,4,반드시,중도,국민의힘,소극적
54,송영철,남,67,덕천동,회사원,대졸,빌라/연립,복지,한동훈,3,반드시,보수,기타,감정적
55,서판수,남,57,덕천동,엔지니어,전문대졸,단독주택,일자리,미정,2,아마도,중도,국민의힘,무관심
56,정영철,남,78,덕천동,교사,고졸,빌라/연립,복지,박민식,4,반드시,보수,국민의힘,감정적
57,박지수,여,50,구포동,일용직,고졸,단독주택,복지,하정우,3,반드시,진보,민주당,적극적
58,서지혜,여,51,덕천동,공무원,고졸,단독주택,일자리,한동훈,4,반드시,중도,없음(첫투표),무관심
59,권정숙,여,66,만덕동,경비원,고졸,아파트,복지,하정우,5,반드시,진보,민주당,논리적
60,최지혜,여,46,덕천동,교사,대학원졸,아파트,일자리,미정,2,안할것,진보,민주당,논리적
61,조나영,여,30,구포동,배달기사,대졸,아파트,교육,한동훈,5,아마도,보수,국민의힘,소극적
62,정용철,남,65,덕천동,은행원,전문대졸,아파트,부동산,한동훈,5,아마도,중도,없음(첫투표),감정적
63,신지혜,여,45,덕천동,은행원,고졸,빌라/연립,일자리,하정우,4,아마도,보수,국민의힘,논리적
64,송봉희,여,66,만덕동,택시기사,전문대졸,빌라/연립,부동산,하정우,5,반드시,진보,민주당,감정적
65,오영숙,여,78,구포동,상인,대졸,단독주택,일자리,하정우,4,반드시,진보,민주당,무관심
66,오지영,여,22,구포동,건설노동자,대졸,아파트,교육,하정우,4,반드시,진보,민주당,무관심
67,신동현,남,24,만덕동,자영업자,대졸,아파트,일자리,미정,1,모름,중도,민주당,논리적
68,한영자,여,64,만덕동,배달기사,대졸,빌라/연립,일자리,하정우,4,반드시,진보,정의당,무관심
69,안성호,남,30,덕천동,자영업자,대학원졸,빌라/연립,교육,한동훈,5,아마도,보수,기타,논리적
70,장동현,남,50,덕천동,주부,전문대졸,빌라/연립,교육,박민식,3,모름,보수,국민의힘,감정적
71,오명자,여,66,구포동,건설노동자,전문대졸,아파트,복지,박민식,5,반드시,보수,없음(첫투표),감정적
72,조재원,남,30,만덕동,가사도우미,대학원졸,단독주택,일자리,한동훈,3,아마도,보수,국민의힘,소극적
73,안분자,여,56,구포동,편의점운영,전문대졸,단독주택,안보,하정우,4,반드시,진보,민주당,소극적
74,오성민,남,35,덕천동,주부,대졸,빌라/연립,일자리,하정우,4,아마도,중도,없음(첫투표),소극적
75,장미진,여,46,만덕동,일용직,대졸,빌라/연립,부동산,하정우,3,아마도,진보,민주당,감정적
76,최동현,남,25,구포동,청소원,대졸,단독주택,교육,하정우,5,반드시,중도,민주당,감정적
77,조학수,남,60,구포동,상인,중졸,단독주택,부동산,한동훈,3,아마도,보수,민주당,감정적
78,신혜진,여,54,덕천동,간호사,고졸,빌라/연립,복지,하정우,4,반드시,진보,민주당,무관심
79,임소희,여,27,만덕동,택시기사,대졸,단독주택,부동산,하정우,3,안할것,진보,민주당,소극적
80,김순희,여,55,덕천동,주부,대졸,아파트,안보,하정우,5,모름,중도,없음(첫투표),적극적
81,정학수,남,76,만덕동,가사도우미,고졸,빌라/연립,안보,한동훈,5,아마도,보수,국민의힘,무관심
82,신판수,남,65,구포동,편의점운영,중졸,빌라/연립,안보,하정우,5,반드시,진보,정의당,소극적
83,신옥순,여,70,덕천동,전문직,고졸,빌라/연립,복지,하정우,4,반드시,중도,국민의힘,소극적
