id,이름,성별,나이,거주동,직업,학력,가구형태,주요관심이슈,지지후보,지지강도,투표의향,정치성향,과거투표정당,말투특성
1,전분자,여,81,덕천2동,간호사,고졸,빌라/연립,부동산,박민식,4,반드시,보수,국민의힘,무관심
2,황미숙,여,82,구포2동,식당주인,중졸,아파트,안보,박민식,5,반드시,보수,국민의힘,감정적
3,류소희,여,54,덕천3동,교사,대졸,단독주택,일자리,한동훈,3,모름,중도,국민의힘,적극적
4,류분자,여,72,구포2동,상인,대졸,단독주택,부동산,하정우,4,아마도,중도,개혁신당,소극적
5,임동현,남,40,만덕2동,청소원,고졸,빌라/연립,교육,미정,1,모름,중도,민주당,소극적
6,조병수,남,77,만덕2동,택시기사,고졸,단독주택,복지,박민식,4,반드시,보수,국민의힘,적극적
7,박영호,남,67,만덕2동,배달기사,고졸,빌라/연립,안보,하정우,3,반드시,중도,없음(첫투표),적극적
8,조시우,남,21,구포2동,건설노동자,대졸,아파트,일자리,하정우,5,안할것,보수,국민의힘,무관심
9,장복순,여,57,덕천3동,간호사,고졸,아파트,일자리,하정우,4,아마도,중도,민주당,적극적
10,윤영호,남,65,만덕3동,가사도우미,대졸,빌라/연립,복지,미정,2,반드시,중도,기타,논리적
11,안명수,남,87,덕천1동,전문직,전문대졸,아파트,부동산,한동훈,3,반드시,중도,기타,소극적
12,신분례,여,82,구포1동,자영업자,대졸,단독주택,일자리,미정,1,반드시,중도,기타,소극적
13,송기태,남,68,구포3동,청소원,전문대졸,단독주택,부동산,미정,2,아마도,중도,기타,소극적
14,오지영,여,37,구포2동,배달기사,대졸,원룸/고시원,일자리,한동훈,3,아마도,보수,국민의힘,무관심
15,김지혜,여,27,구포3동,건설노동자,대졸,단독주택,부동산,한동훈,4,반드시,중도,기타,소극적
16,박영철,남,71,덕천1동,회사원,고졸,아파트,복지,한동훈,5,반드시,보수,국민의힘,무관심
17,윤예준,남,20,덕천3동,관리직,대학원졸,아파트,일자리,박민식,3,아마도,중도,국민의힘,무관심
18,정춘자,여,62,구포2동,일용직,고졸,아파트,안보,박민식,4,아마도,보수,국민의힘,소극적
19,정분례,여,83,만덕2동,청소원,고졸,빌라/연립,일자리,하정우,3,아마도,중도,기타,소극적
20,장순자,여,81,만덕3동,자영업자,고졸,단독주택,일자리,한동훈,3,반드시,중도,국민의힘,감정적
21,박혜진,여,54,덕천3동,관리직,고졸,단독주택,부동산,미정,1,아마도,중도,국민의힘,감정적
22,오춘자,여,62,만덕3동,청소원,전문대졸,단독주택,복지,박민식,4,반드시,중도,개혁신당,소극적
23,신건우,남,32,덕천2동,자영업자,대졸,빌라/연립,부동산,박민식,4,반드시,보수,개혁신당,적극적
24,윤서연,여,23,덕천1동,교사,대졸,빌라/연립,복지,미정,1,안할것,진보,민주당,소극적
25,서혜진,여,45,만덕3동,식당주인,대졸,아파트,부동산,박민식,3,반드시,중도,국민의힘,논리적
